Country_code_A3,Name,Substance,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AGO,Angola,BC,0.366719835,0.354249427,0.356014003,0.358501381,0.353716971,0.359220803,0.355405072,0.359533877,0.359727813,0.364735701,0.361147255,0.357135782,0.360114665,0.359627884,0.350007022,0.349917449,0.348174357,0.359894292,0.344985477,0.350948506,0.361100242,0.35563149,0.36529413,0.349360664,0.355503025,0.35331827,0.326514079,0.314067825,0.356305166,0.359477835,0.287382277,0.311341914,0.316549588,0.306339294,0.330488511,0.347823948,0.351223914,0.337336093,0.359431706,0.381511095,0.388745599,0.350859828,0.375704639,0.346344565,0.368199364,0.37323184,0.362482284,0.404673364,0.334755771
AGO,Angola,PM2.5,0.350076931,0.34760676,0.3480189,0.348505737,0.347403764,0.348523775,0.347771735,0.348472593,0.34857026,0.349516889,0.348769914,0.347817185,0.348461755,0.348358214,0.346157141,0.34619889,0.345889927,0.348508176,0.345148524,0.346461106,0.348610133,0.347474788,0.349601819,0.346087861,0.347454041,0.343280488,0.318497019,0.30753963,0.347967098,0.353146219,0.280640538,0.304335065,0.307813014,0.296399614,0.31988674,0.33676549,0.342785719,0.328045673,0.352615718,0.37433144,0.382236617,0.343388498,0.370574086,0.34020551,0.364118069,0.368342888,0.357608441,0.400055103,0.331608429
AGO,Angola,SO2,0.256806129,0.24831736,0.247733734,0.248972658,0.238917595,0.245611518,0.242026699,0.246854043,0.243847334,0.249023961,0.244204279,0.239829743,0.244551869,0.243226524,0.24367442,0.238317086,0.23727203,0.248265362,0.232120747,0.237576065,0.245370977,0.242687915,0.252892688,0.232136588,0.244417188,0.239501024,0.216454911,0.208979355,0.248496935,0.243152714,0.187706383,0.202639327,0.206394807,0.19399824,0.217460837,0.231386493,0.229825292,0.218640934,0.2275615,0.231821762,0.237006673,0.212128445,0.222225876,0.190541865,0.189529087,0.193888877,0.18458374,0.225505895,0.178585247
AGO,Angola,NOx,0.218956722,0.219723449,0.21864652,0.218597867,0.218403311,0.218668854,0.219067386,0.219025377,0.218235706,0.218230921,0.218221417,0.218276653,0.218340707,0.218355557,0.219399272,0.218600438,0.218777927,0.218521767,0.217838649,0.217683548,0.217630024,0.217610488,0.218109606,0.216917451,0.217690895,0.217026582,0.199523898,0.190561975,0.220838771,0.223977109,0.171778023,0.188501906,0.191871947,0.181753795,0.199073537,0.213219836,0.217014529,0.206045881,0.221659219,0.237996721,0.241184296,0.213477432,0.231677314,0.210074552,0.22292615,0.226153749,0.217114919,0.249854002,0.201798044
AGO,Angola,NMVOC,0.168137769,0.159069845,0.160670116,0.162010832,0.158175672,0.161985542,0.159593821,0.161899692,0.162485316,0.165899197,0.162625236,0.159740833,0.162266432,0.161278647,0.155045539,0.15313105,0.152275167,0.159641368,0.147603395,0.150447912,0.157764839,0.152253979,0.161359679,0.143210781,0.15050009,0.147029417,0.133376698,0.127377004,0.147364672,0.145787698,0.115566675,0.124163863,0.125443836,0.120711293,0.130413852,0.134926594,0.135830256,0.129073672,0.134655686,0.143800473,0.149060725,0.136246527,0.144146248,0.13545069,0.141598274,0.142789918,0.140255691,0.158708268,0.128527126
AIA,Anguilla,NH3,0.441987661,0.452761792,0.433107277,0.440287235,0.413928725,0.358742461,0.380739123,0.386639463,0.348218547,0.329039473,0.336332203,0.241808306,0.250516265,0.243934188,0.247922454,0.33082978,0.330515246,0.22680042,0.260483569,0.279223605,0.297362998,0.262257983,0.25946128,0.218578,0.207610367,0.176632127,0.166469807,0.183742573,0.180443826,0.181685242,0.150926567,0.156883314,0.182621036,0.170269024,0.168015971,0.172809829,0.169845577,0.18001264,0.17412354,0.16299073,0.157829786,0.15634442,0.156542304,0.154383891,0.154097924,0.156875935,0.149677939,0.149440639,0.151140008
AIA,Anguilla,CO,0.148362417,0.148441703,0.148348246,0.148390154,0.148287959,0.14789606,0.147526072,0.147688298,0.147987976,0.147928419,0.148501916,0.148348763,0.148828705,0.14858244,0.148521764,0.148505022,0.148182589,0.148157668,0.148396484,0.148110658,0.148064206,0.148342692,0.148609437,0.148468165,0.148525535,0.148504536,0.148285044,0.14828308,0.148015566,0.147841543,0.147098191,0.1470782,0.146681643,0.14686314,0.147326551,0.147577553,0.144904581,0.145620593,0.145929787,0.14601789,0.145855741,0.146594332,0.146439149,0.146502524,0.145356036,0.145650669,0.145691174,0.145915452,0.143796312
AIA,Anguilla,NOx,0.129014516,0.130010831,0.129361054,0.129515667,0.129838991,0.127672017,0.126134043,0.128516908,0.12815995,0.127568037,0.134032886,0.133277155,0.136603273,0.133879104,0.133562228,0.131880287,0.127748376,0.127978167,0.130826666,0.130835725,0.130860614,0.13230395,0.133517148,0.1320082,0.134139843,0.134981497,0.133356592,0.132941206,0.129781586,0.128714823,0.127567906,0.127476528,0.124922184,0.125854289,0.125182331,0.126804208,0.12500637,0.126394236,0.129222178,0.12978579,0.129520059,0.129312852,0.128904772,0.128888092,0.127960809,0.128704233,0.126515642,0.126744294,0.124470094
AIA,Anguilla,BC,0.105313859,0.108279978,0.109933863,0.108750422,0.109459146,0.112989392,0.11091671,0.113562578,0.112387237,0.118707866,0.113603297,0.11611313,0.121193011,0.115385604,0.118067391,0.115810667,0.105553496,0.091240254,0.100060487,0.102805793,0.100320016,0.103752624,0.107603292,0.100528084,0.105125539,0.118315415,0.117392672,0.115902766,0.108041567,0.108919482,0.116834958,0.116245701,0.111302761,0.113752942,0.11117971,0.113067714,0.115573426,0.112174029,0.117589802,0.118920875,0.123872358,0.124337522,0.124074457,0.123904817,0.122633335,0.124322194,0.117322004,0.117387455,0.117390327
AIA,Anguilla,OC,0.102405852,0.10477985,0.106807682,0.105723733,0.106561269,0.110803576,0.109177009,0.110417512,0.109409123,0.116119274,0.108152295,0.110981451,0.114851375,0.11046877,0.113258002,0.111582713,0.103153913,0.089094504,0.09687283,0.099041974,0.096159165,0.09876833,0.102166645,0.095933011,0.098862427,0.112254786,0.111695851,0.109855629,0.101860489,0.102965682,0.111963604,0.110577075,0.104929329,0.107173222,0.104693938,0.106058021,0.108999143,0.103968989,0.108824879,0.109951401,0.115833765,0.116547454,0.116221149,0.115949292,0.114273218,0.115946751,0.108072022,0.108008698,0.108111067
